Area Name,Sex,Age group,Life expectancy (years) ,Lower confidence interval,upper CI,Countries
Scotland,Male,<1,76.54,76.44,76.63,Scotland
Scotland,Male,01 to 04,75.8,75.71,75.89,Scotland
Scotland,Male,05 to 09,71.85,71.76,71.93,Scotland
Scotland,Male,10 to 14,66.87,66.78,66.96,Scotland
Scotland,Male,15 to 19,61.91,61.82,61.99,Scotland
Scotland,Male,20 to 24,57.04,56.95,57.12,Scotland
Scotland,Male,25 to 29,52.24,52.16,52.33,Scotland
Scotland,Male,30 to 34,47.48,47.4,47.56,Scotland
Scotland,Male,35 to 39,42.78,42.7,42.85,Scotland
Scotland,Male,40 to 44,38.19,38.11,38.27,Scotland
Scotland,Male,45 to 49,33.73,33.65,33.8,Scotland
Scotland,Male,50 to 54,29.41,29.34,29.48,Scotland
Scotland,Male,55 to 59,25.23,25.17,25.29,Scotland
Scotland,Male,60 to 64,21.17,21.11,21.23,Scotland
Scotland,Male,65 to 69,17.33,17.27,17.39,Scotland
Scotland,Male,70 to 74,13.78,13.73,13.83,Scotland
Scotland,Male,75 to 79,10.55,10.5,10.6,Scotland
Scotland,Male,80 to 84,7.82,7.77,7.87,Scotland
Scotland,Male,85 to 89,5.63,5.58,5.69,Scotland
Scotland,Male,90+,4.03,3.95,4.1,Scotland
Edinburgh,Male,<1,77.78,77.48,78.09,Scotland
Edinburgh,Male,01 to 04,77.04,76.74,77.33,Scotland
Edinburgh,Male,05 to 09,73.1,72.81,73.39,Scotland
Edinburgh,Male,10 to 14,68.12,67.83,68.4,Scotland
Edinburgh,Male,15 to 19,63.14,62.86,63.43,Scotland
Edinburgh,Male,20 to 24,58.24,57.96,58.52,Scotland
Edinburgh,Male,25 to 29,53.38,53.1,53.66,Scotland
Edinburgh,Male,30 to 34,48.5,48.22,48.77,Scotland
Edinburgh,Male,35 to 39,43.67,43.4,43.94,Scotland
Edinburgh,Male,40 to 44,38.94,38.68,39.21,Scotland
Edinburgh,Male,45 to 49,34.35,34.09,34.61,Scotland
Edinburgh,Male,50 to 54,29.95,29.7,30.2,Scotland
Edinburgh,Male,55 to 59,25.66,25.42,25.9,Scotland
Edinburgh,Male,60 to 64,21.65,21.42,21.88,Scotland
Edinburgh,Male,65 to 69,17.82,17.6,18.03,Scotland
Edinburgh,Male,70 to 74,14.24,14.04,14.45,Scotland
Edinburgh,Male,75 to 79,10.98,10.78,11.18,Scotland
Edinburgh,Male,80 to 84,8.2,8.01,8.39,Scotland
Edinburgh,Male,85 to 89,5.91,5.72,6.11,Scotland
Edinburgh,Male,90+,4.22,3.95,4.49,Scotland
East Dunbartonshire,Male,<1,79.95,79.31,80.58,Scotland
East Dunbartonshire,Male,01 to 04,79.06,78.45,79.67,Scotland
