Year of occurrence,Month of occurrence,Sex,Council area,Number of deaths
2020,January,Females,Scotland,2758
2020,January,Females,Aberdeen City,97
2020,January,Females,Aberdeenshire,109
2020,January,Females,Angus,67
2020,January,Females,Argyll and Bute,64
2020,January,Females,City of Edinburgh,180
2020,January,Females,Clackmannanshire,26
2020,January,Females,Dumfries and Galloway,81
2020,January,Females,Dundee City,88
2020,January,Females,East Ayrshire,76
2020,January,Females,East Dunbartonshire,51
2020,January,Females,East Lothian,57
2020,January,Females,East Renfrewshire,63
2020,January,Females,Falkirk,82
2020,January,Females,Fife,166
2020,January,Females,Glasgow City,303
2020,January,Females,Highland,131
2020,January,Females,Inverclyde,57
2020,January,Females,Midlothian,35
2020,January,Females,Moray,53
2020,January,Females,Na h-Eileanan Siar,19
2020,January,Females,North Ayrshire,72
2020,January,Females,North Lanarkshire,189
2020,January,Females,Orkney Islands,3
2020,January,Females,Perth and Kinross,98
2020,January,Females,Renfrewshire,84
2020,January,Females,Scottish Borders,75
2020,January,Females,Shetland Islands,7
2020,January,Females,South Ayrshire,81
2020,January,Females,South Lanarkshire,184
2020,January,Females,Stirling,39
2020,January,Females,West Dunbartonshire,52
2020,January,Females,West Lothian,69
2020,January,Males,Scotland,2690
2020,January,Males,Aberdeen City,96
2020,January,Males,Aberdeenshire,135
2020,January,Males,Angus,58
2020,January,Males,Argyll and Bute,58
2020,January,Males,City of Edinburgh,202
2020,January,Males,Clackmannanshire,35
2020,January,Males,Dumfries and Galloway,96
2020,January,Males,Dundee City,90
2020,January,Males,East Ayrshire,53
2020,January,Males,East Dunbartonshire,48
2020,January,Males,East Lothian,47
2020,January,Males,East Renfrewshire,35
2020,January,Males,Falkirk,84
2020,January,Males,Fife,204
2020,January,Males,Glasgow City,283
2020,January,Males,Highland,128
2020,January,Males,Inverclyde,38
2020,January,Males,Midlothian,40
2020,January,Males,Moray,38
2020,January,Males,Na h-Eileanan Siar,23
2020,January,Males,North Ayrshire,88
2020,January,Males,North Lanarkshire,175
2020,January,Males,Orkney Islands,11
2020,January,Males,Perth and Kinross,76
2020,January,Males,Renfrewshire,84
2020,January,Males,Scottish Borders,54
2020,January,Males,Shetland Islands,7
2020,January,Males,South Ayrshire,72
2020,January,Males,South Lanarkshire,167
2020,January,Males,Stirling,38
2020,January,Males,West Dunbartonshire,48
2020,January,Males,West Lothian,79
2020,February,Females,Scotland,2438
2020,February,Females,Aberdeen City,101
2020,February,Females,Aberdeenshire,110
2020,February,Females,Angus,52
2020,February,Females,Argyll and Bute,44
