age,mx,qx,lx,dx,ex,sex,period,Country
0,0.003539,0.003533,100000.0,353.3,77.08,Male,2020-2022,Scotland
1,0.000252,0.000252,99646.7,25.1,76.35,Male,2020-2022,Scotland
2,0.000269,0.000269,99621.6,26.8,75.37,Male,2020-2022,Scotland
3,0.000098,0.000098,99594.8,9.8,74.39,Male,2020-2022,Scotland
4,0.000087,0.000087,99585.0,8.7,73.40,Male,2020-2022,Scotland
5,0.000131,0.000131,99576.3,13.0,72.40,Male,2020-2022,Scotland
6,0.000143,0.000143,99563.3,14.2,71.41,Male,2020-2022,Scotland
7,0.000111,0.000111,99549.1,11.0,70.42,Male,2020-2022,Scotland
8,0.000068,0.000068,99538.1,6.7,69.43,Male,2020-2022,Scotland
9,0.000069,0.000069,99531.3,6.9,68.44,Male,2020-2022,Scotland
10,0.000105,0.000105,99524.5,10.4,67.44,Male,2020-2022,Scotland
11,0.000143,0.000143,99514.0,14.2,66.45,Male,2020-2022,Scotland
12,0.000049,0.000049,99499.8,4.8,65.46,Male,2020-2022,Scotland
13,0.000097,0.000097,99495.0,9.7,64.46,Male,2020-2022,Scotland
14,0.000143,0.000143,99485.3,14.2,63.47,Male,2020-2022,Scotland
15,0.000092,0.000092,99471.1,9.1,62.48,Male,2020-2022,Scotland
16,0.000277,0.000277,99462.0,27.6,61.48,Male,2020-2022,Scotland
17,0.000420,0.000420,99434.4,41.8,60.50,Male,2020-2022,Scotland
18,0.000514,0.000514,99392.6,51.1,59.52,Male,2020-2022,Scotland
19,0.000565,0.000565,99341.6,56.2,58.55,Male,2020-2022,Scotland
20,0.000538,0.000537,99285.4,53.4,57.59,Male,2020-2022,Scotland
21,0.000667,0.000667,99232.0,66.2,56.62,Male,2020-2022,Scotland
22,0.000526,0.000526,99165.9,52.2,55.65,Male,2020-2022,Scotland
23,0.000635,0.000634,99113.7,62.9,54.68,Male,2020-2022,Scotland
24,0.000561,0.000561,99050.8,55.6,53.72,Male,2020-2022,Scotland
25,0.000755,0.000755,98995.3,74.8,52.75,Male,2020-2022,Scotland
26,0.000832,0.000832,98920.5,82.3,51.79,Male,2020-2022,Scotland
27,0.000892,0.000892,98838.2,88.1,50.83,Male,2020-2022,Scotland
28,0.001028,0.001027,98750.1,101.4,49.87,Male,2020-2022,Scotland
29,0.001209,0.001208,98648.7,119.2,48.93,Male,2020-2022,Scotland
30,0.000949,0.000949,98529.4,93.5,47.98,Male,2020-2022,Scotland
31,0.001267,0.001266,98436.0,124.6,47.03,Male,2020-2022,Scotland
32,0.001361,0.001360,98311.4,133.7,46.09,Male,2020-2022,Scotland
33,0.001304,0.001303,98177.7,127.9,45.15,Male,2020-2022,Scotland
34,0.001475,0.001474,98049.8,144.5,44.21,Male,2020-2022,Scotland
35,0.001675,0.001674,97905.2,163.9,43.27,Male,2020-2022,Scotland
36,0.001590,0.001589,97741.4,155.3,42.34,Male,2020-2022,Scotland
37,0.002040,0.002038,97586.1,198.9,41.41,Male,2020-2022,Scotland
38,0.002024,0.002022,97387.2,197.0,40.49,Male,2020-2022,Scotland
39,0.001893,0.001891,97190.2,183.8,39.58,Male,2020-2022,Scotland
40,0.002726,0.002722,97006.4,264.0,38.65,Male,2020-2022,Scotland
41,0.002523,0.002520,96742.4,243.8,37.75,Male,2020-2022,Scotland
42,0.002766,0.002763,96498.6,266.6,36.85,Male,2020-2022,Scotland
43,0.002793,0.002789,96232.0,268.4,35.95,Male,2020-2022,Scotland
44,0.003342,0.003337,95963.6,320.2,35.05,Male,2020-2022,Scotland
45,0.003320,0.003314,95643.4,317.0,34.16,Male,2020-2022,Scotland
46,0.003287,0.003281,95326.4,312.8,33.28,Male,2020-2022,Scotland
47,0.003623,0.003616,95013.6,343.6,32.38,Male,2020-2022,Scotland
48,0.003733,0.003726,94670.0,352.7,31.50,Male,2020-2022,Scotland
49,0.003894,0.003886,94317.3,366.5,30.62,Male,2020-2022,Scotland
50,0.004486,0.004476,93950.8,420.6,29.73,Male,2020-2022,Scotland
51,0.004452,0.004442,93530.3,415.5,28.86,Male,2020-2022,Scotland
52,0.005025,0.005012,93114.8,466.7,27.99,Male,2020-2022,Scotland
53,0.004699,0.004688,92648.0,434.3,27.13,Male,2020-2022,Scotland
54,0.005705,0.005689,92213.7,524.6,26.25,Male,2020-2022,Scotland
55,0.006083,0.006064,91689.1,556.0,25.40,Male,2020-2022,Scotland
56,0.006634,0.006612,91133.1,602.5,24.55,Male,2020-2022,Scotland
