DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank,Shape_Leng,Shape_Area
S01006506,Culter - 01,Aberdeen City,894,580,4691,4,7,14,68,8%,71,3936.00000000000,8%,49,3220.00000000000,65,29,30,70,13%,0%,74,5174,85%,5.88000000000,53,0%,30%,5887,2.54000000000,3.07000000000,1.62000000000,2.62000000000,9.93000000000,1.54000000000,8.86000000000,5.86000000000,6.02000000000,11%,4724,11,125,4664.00000000000,87,10,10%,1%,3248.00000000000,11801.87234470000,4388802.12220000000
S01006507,Culter - 02,Aberdeen City,793,470,4862,4,7,14,70,5%,43,4829.00000000000,5%,25,4481.00000000000,45,130,126,81,14%,0%,86,5051,85%,5.96000000000,96,2%,12%,4384,3.92000000000,4.31000000000,2.56000000000,3.65000000000,11.04000000000,2.85000000000,9.98000000000,7.52000000000,7.93000000000,1%,2148,10,128,4602.00000000000,85,4,10%,0%,3486.00000000000,2900.40636249000,221746.83868600000
S01006508,Culter - 03,Aberdeen City,624,461,5686,5,9,17,82,6%,40,4460.00000000000,4%,19,5110.00000000000,45,71,18,41,13%,4%,69,5942,90%,5.75000000000,39,1%,19%,5915,3.32000000000,3.78000000000,1.44000000000,3.25000000000,10.62000000000,2.06000000000,8.62000000000,4.32000000000,5.77000000000,1%,4200,8,130,4563.50000000000,31,8,5%,1%,5342.00000000000,3468.76194887000,270194.75330700000
S01006509,Culter - 04,Aberdeen City,537,307,4332,4,7,13,63,10%,52,3481.00000000000,8%,26,3229.00000000000,80,80,28,103,16%,5%,88,3871,94%,6.20000000000,80,0%,25%,6401,2.62000000000,2.78000000000,2.62000000000,1.94000000000,10.04000000000,2.16000000000,7.94000000000,8.43000000000,8.33000000000,11%,3982,4,75,5626.00000000000,42,6,7%,1%,4394.50000000000,1647.46138940000,96254.25784050000
S01006510,Culter - 05,Aberdeen City,663,415,3913,3,6,12,57,10%,68,3344.00000000000,8%,32,3448.00000000000,95,89,44,139,22%,5%,89,3049,80%,5.87000000000,77,6%,16%,4092,2.12000000000,2.36000000000,2.41000000000,1.85000000000,9.65000000000,1.78000000000,5.57000000000,6.97000000000,6.63000000000,0%,5588,11,168,3885.00000000000,50,7,9%,1%,3736.00000000000,3026.11141247000,180076.57624400000
S01006511,Culter - 06,Aberdeen City,759,453,6253,5,9,18,90,4%,30,5469.00000000000,4%,17,5346.00000000000,50,55,0,54,12%,13%,73,5783,90%,5.79000000000,54,2%,13%,5410,1.52000000000,1.77000000000,3.23000000000,2.52000000000,8.61000000000,2.59000000000,4.93000000000,7.67000000000,7.34000000000,5%,4974,0,0,6928.00000000000,27,8,4%,1%,5924.00000000000,4300.08850377000,400488.03579800000
S01006512,Culter - 07,Aberdeen City,539,345,5692,5,9,17,82,2%,13,6264.00000000000,2%,8,6206.00000000000,40,29,0,41,11%,6%,55,6586,93%,5.86000000000,27,0%,15%,6506,5.37000000000,5.78000000000,3.91000000000,5.37000000000,12.22000000000,4.28000000000,19.01000000000,16.26000000000,16.96000000000,54%,547,7,132,4528.00000000000,27,9,5%,2%,4815.00000000000,22464.85766010000,13996149.90270000000
S01006513,"Cults, Bieldside and Milltimber West - 01",Aberdeen City,788,406,6177,5,9,18,89,2%,14,6572.00000000000,3%,13,5695.00000000000,40,28,0,138,21%,0%,72,5516,94%,6.10000000000,40,3%,28%,6531,3.57000000000,4.32000000000,5.52000000000,1.95000000000,6.26000000000,4.91000000000,11.27000000000,10.98000000000,11.10000000000,3%,1490,0,0,6928.00000000000,15,4,3%,1%,6394.00000000000,4077.11981449000,300877.29598500000
S01006514,"Cults, Bieldside and Milltimber West - 02",Aberdeen City,1123,709,6715,5,10,20,97,2%,17,6704.00000000000,2%,12,6658.00000000000,25,18,0,107,12%,8%,59,6733,94%,6.50000000000,19,1%,22%,6847,2.72000000000,3.52000000000,4.69000000000,2.89000000000,7.04000000000,4.06000000000,9.74000000000,10.00000000000,9.73000000000,14%,1858,9,81,5507.00000000000,10,3,1%,0%,6868.00000000000,8064.49686225000,1877298.25655000000
S01006515,"Cults, Bieldside and Milltimber West - 03",Aberdeen City,816,529,6363,5,10,19,92,1%,5,6955.00000000000,1%,7,6803.00000000000,25,23,0,34,10%,0%,58,6846,96%,6.00000000000,15,0%,20%,6838,4.44000000000,5.18000000000,6.34000000000,3.06000000000,6.88000000000,5.78000000000,17.18000000000,17.09000000000,17.03000000000,22%,659,0,0,6844.00000000000,29,1,4%,0%,6174.50000000000,15374.99763250000,5542698.36437000000
